total_instructions,total_basic_blocks,total_lines,num_functions,num_declarations,total_function_calls,num_br,num_conditional_br,num_unconditional_br,num_switch,num_select,num_icmp,num_fcmp,num_ret,num_phi,num_load,num_store,num_alloca,num_getelementptr,num_ptrtoint,num_inttoptr,num_memcpy,num_memset,num_memmove,num_add,num_sub,num_mul,num_div,num_rem,num_fadd,num_fsub,num_fmul,num_fdiv,num_and,num_or,num_xor,num_shl,num_shr,estimated_loops,num_back_edges,num_direct_calls,num_indirect_calls,num_tail_calls,uses_i1,uses_i8,uses_i32,uses_i64,uses_float,uses_double,uses_ptr,uses_array,uses_vector,cyclomatic_complexity,avg_block_size,memory_intensity,branch_intensity,arithmetic_intensity,call_intensity,phi_ratio,load_store_ratio,pass_adce,pass_always-inline,pass_argpromotion,pass_break-crit-edges,pass_correlated-propagation,pass_dce,pass_deadargelim,pass_dse,pass_early-cse,pass_globaldce,pass_globalopt,pass_gvn,pass_indvars,pass_inline,pass_instcombine,pass_instsimplify,pass_ipsccp,pass_jump-threading,pass_licm,pass_loop-deletion,pass_loop-reduce,pass_loop-rotate,pass_loop-simplify,pass_loop-unroll,pass_loop-unroll-and-jam,pass_loop-vectorize,pass_lowerswitch,pass_mem2reg,pass_memcpyopt,pass_mergereturn,pass_partial-inliner,pass_reassociate,pass_sccp,pass_simplifycfg,pass_slp-vectorizer,pass_sroa,pass_tailcallelim,runtime,binary_size
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0024895974000003207,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0026196364000043103,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.002513392600002362,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025790939999922103,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0023840081999992437,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.0025718913999980943,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0025941837999994277,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.002530596199989077,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.0025582995999911874,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0025723799999980202,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0026271890000032273,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.0026461258000040288,16344
-0.49393096319599633,-0.6365515335411207,-0.5838638885920366,-0.8762302154233782,0.4710422084472963,-0.33382118889154966,-0.6365515335411207,-0.9065249901292727,-0.4743910085649021,0.0,0.0,-0.8937065810743525,-0.19245008972987526,-0.8762302154233782,-0.5641519475835701,-0.43256181841832675,-0.5812163540771851,-0.725504100057639,-0.610620794705817,0.0,0.0,-0.39970403251589476,-0.2715627232967842,0.0,0.596324187835682,0.7535117522024918,0.18329216636203774,-0.27552454871518217,-0.473049916791266,-0.19245008972987523,-0.19245008972987523,-0.19245008972987526,-0.27156272329678427,0.0,-0.1924500897298752,-0.2773500981126146,-0.1924500897298752,0.0,0,-0.7135060680126758,-0.33382118889154966,0.0,0.0,5,1,143,50,0,6,0,1,0,4,6.9,0.644927536231884,0.14492753623188406,0.11594202898550725,0.08695652173913043,-0.5926684838278209,0.24454712258478922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.00253346100000158,16344
